periodo,año,trimestre,sector_codigo,sector_nombre,instrumento,A_t0_nominal,F_t_nominal,F_acum_nominal,A_notional_nominal,UF_t,A_t0_real,F_t_real,F_acum_real,A_notional_real
2003T1,2003,1,S11,Empresas no financieras,Cuotas FMM,449.01243036999733,-329.1192412673139,0.0,449.01243036999733,16783.6,0.02675304644831844,-0.019609573706911146,0.0,0.02675304644831844
2003T2,2003,2,S11,Empresas no financieras,Cuotas FMM,449.01243036999733,194.9260693173244,194.9260693173244,643.9384996873217,16959.67,0.02675304644831844,0.011493506024428802,0.011493506024428802,0.03824655247274724
2003T3,2003,3,S11,Empresas no financieras,Cuotas FMM,449.01243036999733,12.672687395916322,207.5987567132407,656.6111870832381,16946.03,0.02675304644831844,0.0007478263284035449,0.012241332352832347,0.03899437880115079
2003T4,2003,4,S11,Empresas no financieras,Cuotas FMM,449.01243036999733,113.67784340199101,321.27660011523176,770.2890304852291,16920.0,0.02675304644831844,0.006718548664420273,0.01895988101725262,0.04571292746557106
2004T1,2004,1,S11,Empresas no financieras,Cuotas FMM,449.01243036999733,114.97669075659752,436.2532908718292,885.2657212418266,16820.82,0.02675304644831844,0.006835379651919319,0.025795260669171937,0.05254830711749038
2004T2,2004,2,S11,Empresas no financieras,Cuotas FMM,449.01243036999733,-0.16098028613892645,436.0923105856903,885.1047409556877,17014.95,0.02675304644831844,-9.461108386385294e-06,0.02578579956078555,0.052538846009103995
2004T3,2004,3,S11,Empresas no financieras,Cuotas FMM,449.01243036999733,31.250427443226712,467.34273802891704,916.3551683989144,17190.78,0.02675304644831844,0.0018178597738570741,0.027603659334642625,0.05435670578296106
2004T4,2004,4,S11,Empresas no financieras,Cuotas FMM,449.01243036999733,-10.294395528711457,457.0483425002056,906.060772870203,17317.05,0.02675304644831844,-0.0005944658893236121,0.027009193445319015,0.05376223989363746
2005T1,2005,1,S11,Empresas no financieras,Cuotas FMM,449.01243036999733,203.61391848763625,660.6622609878418,1109.674691357839,17198.78,0.02675304644831844,0.011838858249691912,0.038848051695010925,0.06560109814332937
2005T2,2005,2,S11,Empresas no financieras,Cuotas FMM,449.01243036999733,-153.9525075555988,506.709753432243,955.7221838022404,17489.25,0.02675304644831844,-0.00880269351490766,0.030045358180103267,0.05679840462842171
2005T3,2005,3,S11,Empresas no financieras,Cuotas FMM,449.01243036999733,-65.01449522494141,441.69525820730166,890.707688577299,17717.56,0.02675304644831844,-0.0036694948528432476,0.02637586332726002,0.053128909775578465
2005T4,2005,4,S11,Empresas no financieras,Cuotas FMM,449.01243036999733,316.4930829827395,758.1883411900411,1207.2007715600384,17974.81,0.02675304644831844,0.017607589898460094,0.043983453225720115,0.07073649967403856
2006T1,2006,1,S11,Empresas no financieras,Cuotas FMM,449.01243036999733,208.6853329359843,966.8736741260254,1415.8861044960227,17915.66,0.02675304644831844,0.01164820793294717,0.05563166115866729,0.08238470760698573
2006T2,2006,2,S11,Empresas no financieras,Cuotas FMM,449.01243036999733,292.5395117001439,1259.4131858261694,1708.4256161961666,18151.4,0.02675304644831844,0.01611663627599766,0.07174829743466495,0.09850134388298339
2006T3,2006,3,S11,Empresas no financieras,Cuotas FMM,449.01243036999733,89.7400141237838,1349.153199949953,1798.1656303199502,18401.15,0.02675304644831844,0.004876869876273156,0.0766251673109381,0.10337821375925654
2006T4,2006,4,S11,Empresas no financieras,Cuotas FMM,449.01243036999733,129.27120096740612,1478.4244009173592,1927.4368312873567,18336.38,0.02675304644831844,0.007049984837105585,0.08367515214804369,0.11042819859636213
2007T1,2007,1,S11,Empresas no financieras,Cuotas FMM,449.01243036999733,447.3398828976202,1925.7642838149795,2374.7767141849768,18372.97,0.02675304644831844,0.02434771748376121,0.1080228696318049,0.13477591608012335
2007T2,2007,2,S11,Empresas no financieras,Cuotas FMM,449.01243036999733,291.63658062131447,2217.400864436294,2666.413294806291,18624.17,0.02675304644831844,0.01565903772470475,0.12368190735650965,0.15043495380482808
2007T3,2007,3,S11,Empresas no financieras,Cuotas FMM,449.01243036999733,59.00878104812487,2276.409645484419,2725.422075854416,19178.94,0.02675304644831844,0.003076748821787068,0.1267586561782967,0.15351170262661515
2007T4,2007,4,S11,Empresas no financieras,Cuotas FMM,449.01243036999733,84.46527778459348,2360.8749232690125,2809.8873536390097,19622.66,0.02675304644831844,0.0043044764463428245,0.13106313262463953,0.15781617907295797
2008T1,2008,1,S11,Empresas no financieras,Cuotas FMM,449.01243036999733,-306.203715593768,2054.671207675244,2503.6836380452414,19822.53,0.02675304644831844,-0.01544725701480931,0.11561587560983023,0.14236892205814866
2008T2,2008,2,S11,Empresas no financieras,Cuotas FMM,449.01243036999733,633.7773715537251,2688.4485792289693,3137.4610095989665,20252.71,0.02675304644831844,0.03129346006305947,0.14690933567288972,0.17366238212120816
2008T3,2008,3,S11,Empresas no financieras,Cuotas FMM,449.01243036999733,-369.7456091825624,2318.702970046407,2767.715400416404,20988.34,0.02675304644831844,-0.01761671524201354,0.12929262043087617,0.1560456668791946
2008T4,2008,4,S11,Empresas no financieras,Cuotas FMM,449.01243036999733,180.24785945673975,2498.9508295031465,2947.9632598731437,21452.57,0.02675304644831844,0.008402156919042322,0.13769477734991847,0.16444782379823691
2009T1,2009,1,S11,Empresas no financieras,Cuotas FMM,449.01243036999733,1208.418915498923,3707.36974500207,4156.382175372068,20959.77,0.02675304644831844,0.05765420686863086,0.19534898421854935,0.2221020306668678
2009T2,2009,2,S11,Empresas no financieras,Cuotas FMM,449.01243036999733,565.3397262029331,4272.709471205003,4721.721901575001,20933.02,0.02675304644831844,0.027007079064699364,0.22235606328324872,0.24910910973156716
2009T3,2009,3,S11,Empresas no financieras,Cuotas FMM,449.01243036999733,116.22098486520062,4388.930456070203,4837.942886440201,20834.45,0.02675304644831844,0.005578308276206025,0.22793437155945473,0.25468741800777317
2009T4,2009,4,S11,Empresas no financieras,Cuotas FMM,449.01243036999733,87.89087260591914,4476.821328676123,4925.833759046121,20942.88,0.02675304644831844,0.004196694657368955,0.2321310662168237,0.2588841126651421
2010T1,2010,1,S11,Empresas no financieras,Cuotas FMM,449.01243036999733,-17.424195419493174,4459.39713325663,4908.4095636266275,20998.52,0.02675304644831844,-0.0008297820712837463,0.23130128414553994,0.2580543305938584
2010T2,2010,2,S11,Empresas no financieras,Cuotas FMM,449.01243036999733,-273.58245198381564,4185.814681272814,4634.827111642811,21202.16,0.02675304644831844,-0.012903517942691482,0.21839776620284845,0.2451508126511669
