periodo,año,trimestre,acreedor_codigo,acreedor_nombre,acreedor_clasif,deudor_codigo,deudor_nombre,deudor_clasif,exp_ij,pasivo_red_j,D_fondeo
2003T3,2003,3,S11,Empresas no financieras,Empresas NF,S2,Resto del mundo,Resto del mundo,5133.1380077812,25715.463382186004,0.19961289172557176
2003T3,2003,3,S14_S15,Hogares,Hogares,S2,Resto del mundo,Resto del mundo,2615.1046846287995,25715.463382186004,0.10169385811808367
2003T3,2003,3,S122,Bancos y cooperativas,Bancario,S2,Resto del mundo,Resto del mundo,1013.8739368380002,25715.463382186004,0.03942662520871959
2003T3,2003,3,S124,FNM,NBFI,S2,Resto del mundo,Resto del mundo,253.313817391,25715.463382186004,0.009850641756915773
2003T3,2003,3,S128,Compañías de seguros,NBFI,S2,Resto del mundo,Resto del mundo,177.983551832,25715.463382186004,0.006921265589765549
2003T3,2003,3,S125_S126,Otros intermediarios,NBFI,S2,Resto del mundo,Resto del mundo,35.638308099999996,25715.463382186004,0.001385870733509235
2003T3,2003,3,S123,FMM,NBFI,S2,Resto del mundo,Resto del mundo,31.06527349500003,25715.463382186004,0.0012080386432592937
2003T3,2003,3,S13,Gobierno general,Gobierno,S2,Resto del mundo,Resto del mundo,0.0133025980014354,25715.463382186004,5.172995642244803e-07
2003T4,2003,4,S122,Bancos y cooperativas,Bancario,S11,Empresas no financieras,Empresas NF,18546.32701461642,40868.643780764294,0.453803339159144
2003T4,2003,4,S2,Resto del mundo,Resto del mundo,S11,Empresas no financieras,Empresas NF,15909.699832622004,40868.643780764294,0.3892886663420489
2003T4,2003,4,S128,Compañías de seguros,NBFI,S11,Empresas no financieras,Empresas NF,2745.098438696017,40868.643780764294,0.06716881659743397
2003T4,2003,4,S129,Fondos de pensiones,NBFI,S11,Empresas no financieras,Empresas NF,1945.3321509318314,40868.643780764294,0.04759962580034143
2003T4,2003,4,S125_S126,Otros intermediarios,NBFI,S11,Empresas no financieras,Empresas NF,635.6250831683527,40868.643780764294,0.015552879282662259
