periodo,año,trimestre,tipo_cuenta,sector_activo_codigo,sector_activo_nombre,sector_pasivo_codigo,sector_pasivo_nombre,instrumento,valor,clasificacion_acreedor,flag_sf_acreedor
2003T2,2003,2,Bce Final,S14_S15,Hogares,S11,Empresas no financieras,Titulos deuda,4.066624649060301,Hogares,False
2003T2,2003,2,Bce Final,S2,Resto del mundo,S11,Empresas no financieras,Titulos deuda,3923.032142913001,Resto del mundo,False
2003T3,2003,3,Bce Final,S11,Empresas no financieras,S11,Empresas no financieras,Prestamos,0.5218,Empresas NF,False
2003T3,2003,3,Bce Final,S122,Bancos y cooperativas,S11,Empresas no financieras,Prestamos,18332.778442974995,Bancario,True
2003T3,2003,3,Bce Final,S122,Bancos y cooperativas,S14_S15,Hogares,Prestamos,9544.62023,Bancario,True
2003T3,2003,3,Bce Final,S124,Fondos del mercado no monetario,S11,Empresas no financieras,Prestamos,4.547473508864641e-16,NBFI,True
2003T3,2003,3,Bce Final,S124,Fondos del mercado no monetario,S14_S15,Hogares,Prestamos,32.37843,NBFI,True
2003T3,2003,3,Bce Final,S125_S126,Otros intermediarios financieros y Auxiliares financieros,S11,Empresas no financieras,Prestamos,583.9224616676663,NBFI,True
2003T3,2003,3,Bce Final,S125_S126,Otros intermediarios financieros y Auxiliares financieros,S14_S15,Hogares,Prestamos,600.1906200000001,NBFI,True
2003T3,2003,3,Bce Final,S128,Compañías de seguro,S11,Empresas no financieras,Prestamos,327.0897800000001,NBFI,True
2003T3,2003,3,Bce Final,S128,Compañías de seguro,S14_S15,Hogares,Prestamos,1048.2360700000002,NBFI,True
2003T3,2003,3,Bce Final,S13,Gobierno general,S11,Empresas no financieras,Prestamos,511.39037,Gobierno,False
2003T3,2003,3,Bce Final,S13,Gobierno general,S14_S15,Hogares,Prestamos,763.8596850051601,Gobierno,False
2003T3,2003,3,Bce Final,S2,Resto del mundo,S11,Empresas no financieras,Prestamos,14291.979152826001,Resto del mundo,False
2003T3,2003,3,Bce Final,S11,Empresas no financieras,S11,Empresas no financieras,Titulos deuda,33.27269346338122,Empresas NF,False
2003T3,2003,3,Bce Final,S122,Bancos y cooperativas,S11,Empresas no financieras,Titulos deuda,190.51744082889465,Bancario,True
2003T3,2003,3,Bce Final,S123,Fondos del mercado monetario,S11,Empresas no financieras,Titulos deuda,57.72593410700001,NBFI,True
2003T3,2003,3,Bce Final,S124,Fondos del mercado no monetario,S11,Empresas no financieras,Titulos deuda,333.7454909184885,NBFI,True
2003T3,2003,3,Bce Final,S125_S126,Otros intermediarios financieros y Auxiliares financieros,S11,Empresas no financieras,Titulos deuda,21.009596305117885,NBFI,True
2003T3,2003,3,Bce Final,S128,Compañías de seguro,S11,Empresas no financieras,Titulos deuda,2144.8788116601345,NBFI,True
2003T3,2003,3,Bce Final,S129,Fondo de pensiones,S11,Empresas no financieras,Titulos deuda,1777.4427990785878,NBFI,True
2003T3,2003,3,Bce Final,S13,Gobierno general,S11,Empresas no financieras,Titulos deuda,16.753418981999996,Gobierno,False
2003T3,2003,3,Bce Final,S14_S15,Hogares,S11,Empresas no financieras,Titulos deuda,3.4034159711101912,Hogares,False
2003T3,2003,3,Bce Final,S2,Resto del mundo,S11,Empresas no financieras,Titulos deuda,3690.362014111,Resto del mundo,False
2003T4,2003,4,Bce Final,S11,Empresas no financieras,S11,Empresas no financieras,Prestamos,0.45854000000000006,Empresas NF,False
2003T4,2003,4,Bce Final,S122,Bancos y cooperativas,S11,Empresas no financieras,Prestamos,18392.453120658993,Bancario,True
2003T4,2003,4,Bce Final,S122,Bancos y cooperativas,S14_S15,Hogares,Prestamos,9943.137840000001,Bancario,True
2003T4,2003,4,Bce Final,S124,Fondos del mercado no monetario,S11,Empresas no financieras,Prestamos,4.547473508864641e-16,NBFI,True
2003T4,2003,4,Bce Final,S124,Fondos del mercado no monetario,S14_S15,Hogares,Prestamos,27.308660000000003,NBFI,True
2003T4,2003,4,Bce Final,S125_S126,Otros intermediarios financieros y Auxiliares financieros,S11,Empresas no financieras,Prestamos,610.5415344457301,NBFI,True
2003T4,2003,4,Bce Final,S125_S126,Otros intermediarios financieros y Auxiliares financieros,S14_S15,Hogares,Prestamos,642.58167,NBFI,True
2003T4,2003,4,Bce Final,S128,Compañías de seguro,S11,Empresas no financieras,Prestamos,333.00810999999993,NBFI,True
2003T4,2003,4,Bce Final,S128,Compañías de seguro,S14_S15,Hogares,Prestamos,1059.6298100000001,NBFI,True
2003T4,2003,4,Bce Final,S13,Gobierno general,S11,Empresas no financieras,Prestamos,363.36298,Gobierno,False
2003T4,2003,4,Bce Final,S13,Gobierno general,S14_S15,Hogares,Prestamos,760.0339300051999,Gobierno,False
2003T4,2003,4,Bce Final,S2,Resto del mundo,S11,Empresas no financieras,Prestamos,12332.957478203003,Resto del mundo,False
2003T4,2003,4,Bce Final,S11,Empresas no financieras,S11,Empresas no financieras,Titulos deuda,309.27054130124804,Empresas NF,False
2003T4,2003,4,Bce Final,S122,Bancos y cooperativas,S11,Empresas no financieras,Titulos deuda,153.87389395742872,Bancario,True
2003T4,2003,4,Bce Final,S123,Fondos del mercado monetario,S11,Empresas no financieras,Titulos deuda,122.09056208500002,NBFI,True
2003T4,2003,4,Bce Final,S124,Fondos del mercado no monetario,S11,Empresas no financieras,Titulos deuda,269.4432981357456,NBFI,True
2003T4,2003,4,Bce Final,S125_S126,Otros intermediarios financieros y Auxiliares financieros,S11,Empresas no financieras,Titulos deuda,25.08354872262255,NBFI,True
2003T4,2003,4,Bce Final,S128,Compañías de seguro,S11,Empresas no financieras,Titulos deuda,2412.0903286960174,NBFI,True
2003T4,2003,4,Bce Final,S129,Fondo de pensiones,S11,Empresas no financieras,Titulos deuda,1945.3321509318314,NBFI,True
2003T4,2003,4,Bce Final,S13,Gobierno general,S11,Empresas no financieras,Titulos deuda,18.142891258999992,Gobierno,False
2003T4,2003,4,Bce Final,S14_S15,Hogares,S11,Empresas no financieras,Titulos deuda,3.792447948672634,Hogares,False
2003T4,2003,4,Bce Final,S2,Resto del mundo,S11,Empresas no financieras,Titulos deuda,3576.7423544190005,Resto del mundo,False
2004T1,2004,1,Bce Final,S11,Empresas no financieras,S11,Empresas no financieras,Prestamos,0.47519,Empresas NF,False
2004T1,2004,1,Bce Final,S122,Bancos y cooperativas,S11,Empresas no financieras,Prestamos,17988.28459074098,Bancario,True
2004T1,2004,1,Bce Final,S122,Bancos y cooperativas,S14_S15,Hogares,Prestamos,10652.724300000003,Bancario,True
2004T1,2004,1,Bce Final,S124,Fondos del mercado no monetario,S11,Empresas no financieras,Prestamos,4.547473508864641e-16,NBFI,True
2004T1,2004,1,Bce Final,S124,Fondos del mercado no monetario,S14_S15,Hogares,Prestamos,25.51625,NBFI,True
2004T1,2004,1,Bce Final,S125_S126,Otros intermediarios financieros y Auxiliares financieros,S11,Empresas no financieras,Prestamos,669.2565774270449,NBFI,True
2004T1,2004,1,Bce Final,S125_S126,Otros intermediarios financieros y Auxiliares financieros,S14_S15,Hogares,Prestamos,677.5400500000001,NBFI,True
2004T1,2004,1,Bce Final,S128,Compañías de seguro,S11,Empresas no financieras,Prestamos,355.32017999999994,NBFI,True
2004T1,2004,1,Bce Final,S128,Compañías de seguro,S14_S15,Hogares,Prestamos,1101.78474,NBFI,True
2004T1,2004,1,Bce Final,S13,Gobierno general,S11,Empresas no financieras,Prestamos,373.47799999999995,Gobierno,False
2004T1,2004,1,Bce Final,S13,Gobierno general,S14_S15,Hogares,Prestamos,784.4567200052,Gobierno,False
2004T1,2004,1,Bce Final,S2,Resto del mundo,S11,Empresas no financieras,Prestamos,12783.803081004005,Resto del mundo,False
2004T1,2004,1,Bce Final,S11,Empresas no financieras,S11,Empresas no financieras,Titulos deuda,270.48140528590756,Empresas NF,False
2004T1,2004,1,Bce Final,S122,Bancos y cooperativas,S11,Empresas no financieras,Titulos deuda,163.8090451935097,Bancario,True
2004T1,2004,1,Bce Final,S123,Fondos del mercado monetario,S11,Empresas no financieras,Titulos deuda,130.480963946,NBFI,True
2004T1,2004,1,Bce Final,S124,Fondos del mercado no monetario,S11,Empresas no financieras,Titulos deuda,318.2809548813533,NBFI,True
2004T1,2004,1,Bce Final,S125_S126,Otros intermediarios financieros y Auxiliares financieros,S11,Empresas no financieras,Titulos deuda,25.82119024564243,NBFI,True
2004T1,2004,1,Bce Final,S128,Compañías de seguro,S11,Empresas no financieras,Titulos deuda,2520.2125193703596,NBFI,True
2004T1,2004,1,Bce Final,S129,Fondo de pensiones,S11,Empresas no financieras,Titulos deuda,2021.5378792239708,NBFI,True
2004T1,2004,1,Bce Final,S13,Gobierno general,S11,Empresas no financieras,Titulos deuda,19.513504416999993,Gobierno,False
