periodo,año,trimestre,sector_codigo,sector_nombre,activo_bancos_red,exp_bancos_en_nbfi,ratio_exp_bancos_nbfi
2014T3,2014,3,S122,Bancos y cooperativas,137454.6856209111,6045.101701539199,0.04397886964880266
2014T4,2014,4,S122,Bancos y cooperativas,145219.39393227847,5964.2134584364685,0.04107036461822597
2015T1,2015,1,S122,Bancos y cooperativas,145795.00355360852,6768.836211988215,0.04642707944034123
2015T2,2015,2,S122,Bancos y cooperativas,148428.06932424998,7014.930464312928,0.04726148157993212
2015T3,2015,3,S122,Bancos y cooperativas,153493.96235193472,7302.249876060824,0.04757353165017687
2015T4,2015,4,S122,Bancos y cooperativas,160599.25024554046,7648.79728363574,0.047626606425257165
2016T1,2016,1,S122,Bancos y cooperativas,160334.94643375976,6788.359785486618,0.042338616355799503
2016T2,2016,2,S122,Bancos y cooperativas,162852.47438495964,6674.5618451312885,0.04098532656834917
2016T3,2016,3,S122,Bancos y cooperativas,162727.57283271805,6629.3339882502705,0.04073884881860276
2016T4,2016,4,S122,Bancos y cooperativas,170113.8489184107,6842.218410460507,0.04022140733375649
2017T1,2017,1,S122,Bancos y cooperativas,167889.18878851767,7065.914400609082,0.04208677432773644
2017T2,2017,2,S122,Bancos y cooperativas,170707.37829028093,6614.3937355131375,0.03874697041076708
2017T3,2017,3,S122,Bancos y cooperativas,171500.74754613452,6240.625914268607,0.03638833068403885
2017T4,2017,4,S122,Bancos y cooperativas,179085.5504208683,6430.204904464106,0.03590577179092621
2018T1,2018,1,S122,Bancos y cooperativas,180368.63982430816,7130.132865806262,0.039530890030281964
2018T2,2018,2,S122,Bancos y cooperativas,184526.24977962955,7437.527880737134,0.04030606967637071
2018T3,2018,3,S122,Bancos y cooperativas,186597.33666045943,7855.11352547691,0.04209660044489495
2018T4,2018,4,S122,Bancos y cooperativas,193325.68412841056,9676.653770713672,0.05005363779954999
2019T1,2019,1,S122,Bancos y cooperativas,192307.1208120144,9471.732425865759,0.04925315498392097
2019T2,2019,2,S122,Bancos y cooperativas,198481.75050442203,9433.501634180153,0.04752830731392598
2019T3,2019,3,S122,Bancos y cooperativas,205906.65425042945,10641.377369847962,0.05168058996726556
2019T4,2019,4,S122,Bancos y cooperativas,220647.9429093526,12240.824230629287,0.05547672037739372
2020T1,2020,1,S122,Bancos y cooperativas,235511.67631860476,13090.83481195695,0.0555846530269158
2020T2,2020,2,S122,Bancos y cooperativas,250141.62434315696,12581.524072548076,0.05029760283033944
2020T3,2020,3,S122,Bancos y cooperativas,250057.19110117631,11631.799727066022,0.04651655757566135
2020T4,2020,4,S122,Bancos y cooperativas,251880.61424136054,11018.080550476894,0.0437432653706291
2021T1,2021,1,S122,Bancos y cooperativas,251643.08520316883,10777.470695119784,0.04282839993961443
2021T2,2021,2,S122,Bancos y cooperativas,265747.22763928684,10321.124892983884,0.03883812818921787
2021T3,2021,3,S122,Bancos y cooperativas,275238.42937260243,10423.486225947303,0.03787075173226108
2021T4,2021,4,S122,Bancos y cooperativas,280631.37571329845,11121.65866670924,0.03963084540508209
2022T1,2022,1,S122,Bancos y cooperativas,281516.01960007584,10663.991698406191,0.03788058567166285
2022T2,2022,2,S122,Bancos y cooperativas,290244.4988967733,11089.627987939575,0.038207883457193954
2022T3,2022,3,S122,Bancos y cooperativas,297537.4997289761,11583.535840560553,0.03893134764899173
2022T4,2022,4,S122,Bancos y cooperativas,305375.38109469344,11831.329741261123,0.03874356111762776
2023T1,2023,1,S122,Bancos y cooperativas,308242.47081695555,11952.436390198833,0.03877608545805026
2023T2,2023,2,S122,Bancos y cooperativas,309474.84015488345,11959.61566757719,0.0386448722668109
2023T3,2023,3,S122,Bancos y cooperativas,311930.1887558413,12268.577584135639,0.03933116455662676
2023T4,2023,4,S122,Bancos y cooperativas,316850.568661562,13010.857334482798,0.04106307080161848
2024T1,2024,1,S122,Bancos y cooperativas,324952.23006888106,14101.071239070776,0.043394289788630566
2024T2,2024,2,S122,Bancos y cooperativas,306885.95593944413,13574.583843221373,0.0442333172323466
2024T3,2024,3,S122,Bancos y cooperativas,297091.0152594006,13735.015597330257,0.04623167612570758
2024T4,2024,4,S122,Bancos y cooperativas,305991.98369858525,14429.849373257442,0.04715760589163486
2025T1,2025,1,S122,Bancos y cooperativas,304492.0888085401,13968.280672214187,0.0458740347799224
2025T2,2025,2,S122,Bancos y cooperativas,308496.43832303636,14109.916532190211,0.04573769671018137
2025T3,2025,3,S122,Bancos y cooperativas,310225.5034816605,14088.574090452801,0.04541397767861362
