periodo,año,trimestre,act_total,pas_prestamos_cp,pas_prestamos_lp,pas_prestamos_total,pas_depositos_vista,pas_depositos_otros,pas_depositos_total,pas_total,sector_codigo,sector_nombre,act_titulos_cp,act_titulos_lp,act_titulos_total,act_prestamos_cp,act_prestamos_lp,act_prestamos_total,act_cuotas_fmm,act_cuotas_fnm,act_depositos_vista,act_depositos_otros,pas_titulos_cp,pas_titulos_lp,pas_titulos_total,activos_netos,act_titulos_total_calc,act_prestamos_total_calc,act_depositos_total_calc,pas_titulos_total_calc,pas_prestamos_total_calc,pas_depositos_total_calc,act_credito_intermediado,act_sin_acciones,activo_proxy
2003T2,2003,2,91856.7314,3005.0389,31583.5481,34588.587,,,,179872.8734,S11,Empresas no financieras,223.7661,1694.2205,1917.9866,0.5727,1164.4455,1165.0182,643.6008,215.9557,1810.0663,8087.0627,64.9991,8378.1539,8443.153,-88016.142,1917.9866,1165.0182,9897.129,8443.152999999998,34588.587,0.0,3083.0047999999997,13839.6903,91856.7314
2003T2,2003,2,81870.7335,1240.3174,10452.6733,11692.9906,,,,12619.4412,S14_S15,Hogares e IPSFLSH,9.3644,8.2989,17.6633,,,,965.1757,1374.4001,3053.606,7721.8026,,,,69251.2923,17.6633,0.0,10775.4086,0.0,11692.9907,0.0,17.6633,13132.647700000001,81870.7335
2003T2,2003,2,66449.4544,,,,,,,44522.9637,S2,Resto del mundo,0.0,6850.1468,,1044.1601,18914.0122,19958.1723,100.0854,92.5895,174.8667,44.6856,,,,,6850.1468,19958.172300000002,219.5523,0.0,0.0,0.0,26808.3191,27220.546299999998,66449.4544
2003T3,2003,3,16625.2097,1.3003,153.3167,154.617,2082.6325,126.4761,2209.1086,16976.4662,S121,Banco Central,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,154.617,2209.1086,0.0,0.0,16625.2097
2003T3,2003,3,42002.4768,1586.6164,1777.9143,3364.5307,4373.7082,20818.7436,25192.4518,45237.7288,S122,Bancos y cooperativas,1889.3492,4943.7447,6833.094,5597.642,25690.7051,31288.3471,68.6165,0.0,1259.6421,888.3789,0.0,7194.2752,7194.2752,-3235.2519,6833.0939,31288.3471,2148.021,7194.2752,3364.5307000000003,25192.451800000003,38121.441,40338.078499999996,42002.4768
2003T3,2003,3,,,,,,,,2368.186,S123,Fondos mercado monetario,127.6296,188.6648,316.2944,,,,0.7738,0.181596,,,,,,,316.2944,0.0,0.0,0.0,0.0,0.0,316.2944,317.249796,2368.186
2003T3,2003,3,,,,,,,,3409.3343,S124,Fondos mercado no monetario,148.7057,1217.8751,,0.0,32.3784,32.3784,1.29,52.4141,,,,,,-233.4414,1366.5808,32.3784,0.0,0.0,0.0,0.0,1398.9592,1452.6633,3409.3343
2003T3,2003,3,57771.8778,1071.3731,3998.2862,5069.6593,,,0.3205,53951.1031,S125_S126,Otros intermediarios y auxiliares,36.5055,506.3846,542.8901,328.9833,855.1298,1184.1131,478.4634,351.1282,826.7135,1354.8421,,,,,542.8901,1184.1131,2181.5556,0.0,5069.6593,0.0,1727.0032,4738.1504,57771.8778
2003T3,2003,3,9925.6671,,,,,,,,S128,Compañías de seguros,5.7587,6898.236,,,,,,,85.3658,195.7677,,,,,6903.9947,0.0,281.13349999999997,0.0,0.0,0.0,6903.9947,7185.1282,9925.6671
2003T3,2003,3,28842.7711,,,,,,,28842.7693,S129,Fondos de pensiones,298.4069,13818.1492,,0.0,0.0,0.0,0.0,5847.8252,46.7728,4536.3084,,,,,14116.5561,0.0,4583.0812,0.0,0.0,0.0,14116.5561,24547.462499999998,28842.7711
2003T3,2003,3,10794.7848,0.0388,5390.3137,5390.3526,,,0.0,13535.8121,S13,Gobierno general,0.0,243.3348,,,,,,,1193.5549,323.0306,0.0,5778.2785,5778.2785,,243.3348,0.0,1516.5855000000001,5778.2785,5390.3525,0.0,243.3348,1759.9203000000002,10794.7848
2003T3,2003,3,95450.1857,2871.2464,31176.4356,34047.682,,,,185209.8573,S11,Empresas no financieras,75.3293,1646.5297,1721.859,0.5218,1154.0291,1154.5509,656.4999,236.8151,1661.3102,7295.3493,55.6253,8213.4863,8269.1116,-89759.6716,1721.8590000000002,1154.5509,8956.6595,8269.1116,34047.682,0.0,2876.4099,12726.3844,95450.1857
2003T3,2003,3,85118.6521,1238.6385,10750.6465,11989.285,,,,12952.8428,S14_S15,Hogares e IPSFLSH,8.4924,11.8752,20.3676,,,,1017.519,1607.5432,3914.2449,7408.1538,,,,72165.8092,20.3676,0.0,11322.3987,0.0,11989.285,0.0,20.3676,13967.8285,85118.6521
2003T3,2003,3,64789.5127,,,,,,,43662.7782,S2,Resto del mundo,0.0,6407.2372,,1274.9174,18349.228,19624.1453,105.5132,108.0608,225.8303,42.6507,,,,,6407.2372,19624.145399999998,268.481,0.0,0.0,0.0,26031.382599999997,26513.437599999997,64789.5127
2003T4,2003,4,15789.8984,5.4547,146.3206,151.7753,2998.8562,110.9897,3109.8459,16219.2209,S121,Banco Central,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,151.77530000000002,3109.8459000000003,0.0,0.0,15789.8984
2003T4,2003,4,42913.731,2659.4678,1670.7257,4330.1935,5185.4595,20460.1401,25645.5997,46242.4342,S122,Bancos y cooperativas,1492.1271,4915.6463,6407.7734,5656.7709,26219.102,31875.8729,82.6192,0.0,1901.575,1242.2302,0.0,7029.5958,7029.5958,-3328.7032,6407.7734,31875.8729,3143.8052,7029.5958,4330.193499999999,25645.5996,38283.6463,41510.070700000004,42913.731
2003T4,2003,4,,,,,,,,2684.4365,S123,Fondos mercado monetario,131.2993,304.2264,435.5256,,,,0.3799,0.781627000000001,,,,,,,435.52570000000003,0.0,0.0,0.0,0.0,0.0,435.52570000000003,436.68722700000006,2684.4365
2003T4,2003,4,,,,,,,,3452.0236,S124,Fondos mercado no monetario,229.6877,1211.037,,0.0,27.3087,27.3087,1.6875,64.4359,,,,,,-209.2433,1440.7247,27.3087,0.0,0.0,0.0,0.0,1468.0334,1534.1568,3452.0236
2003T4,2003,4,56741.2476,1076.8352,4017.1207,5093.956,,,0.3599,52979.4835,S125_S126,Otros intermediarios y auxiliares,38.0694,518.1949,556.2642,340.4487,912.6745,1253.1232,507.0526,378.6974,854.9669,1311.1176,,,,,556.2642999999999,1253.1232,2166.0845,0.0,5093.9559,0.0,1809.3874999999998,4861.222,56741.2476
2003T4,2003,4,10229.0142,,,,,,,,S128,Compañías de seguros,13.6184,7071.9169,,,,,,,70.7263,185.7895,,,,,7085.5353000000005,0.0,256.5158,0.0,0.0,0.0,7085.5353000000005,7342.051100000001,10229.0142
2003T4,2003,4,29579.5423,,,,,,,29579.5412,S129,Fondos de pensiones,337.3029,13172.7939,,0.0,0.0,0.0,0.0,6807.3724,71.6616,4434.196,,,,,13510.096800000001,0.0,4505.8576,0.0,0.0,0.0,13510.096800000001,24823.326800000003,29579.5423
2003T4,2003,4,9435.213,0.0421,4699.1667,4699.2087,,,0.0,12719.9735,S13,Gobierno general,0.0,84.7722,,,,,,,1346.6783,243.8025,0.0,5637.004,5637.004,,84.7722,0.0,1590.4808,5637.004,4699.208799999999,0.0,84.7722,1675.2530000000002,9435.213
2003T4,2003,4,97451.3016,2915.4981,29117.2837,32032.7818,,,,185154.527,S11,Empresas no financieras,35.3605,2348.5597,2383.9202,0.4585,1151.1132,1151.5718,774.9178,199.8375,1791.8369,5722.0109,81.2915,8754.5706,8835.862,-87703.2254,2383.9201999999996,1151.5717,7513.8478000000005,8835.862099999998,32032.7818,0.0,3535.4918999999995,12024.095,97451.3016
2003T4,2003,4,87738.0134,1251.8089,11180.883,12432.6919,,,,13438.6757,S14_S15,Hogares e IPSFLSH,11.2882,14.2693,25.5576,,,,1153.3997,1615.2202,5095.5085,7164.7589,,,,74299.3376,25.557499999999997,0.0,12260.2674,0.0,12432.6919,0.0,25.557499999999997,15054.444800000001,87738.0134
2003T4,2003,4,59151.9096,,,,,,,41461.3148,S2,Resto del mundo,0.0,6009.8773,,1593.8727,16037.7246,17631.5974,119.6036,108.6709,181.4289,38.1668,,,,,6009.8773,17631.5973,219.5957,0.0,0.0,0.0,23641.4746,24089.344800000003,59151.9096
2004T1,2004,1,15741.3796,4.7191,150.5231,155.2422,2241.32,142.8083,2384.1283,16376.3184,S121,Banco Central,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,155.2422,2384.1283000000003,0.0,0.0,15741.3796
2004T1,2004,1,43633.6482,1742.5068,1740.3579,3482.8647,4969.5364,21795.903,26765.4394,48049.9898,S122,Bancos y cooperativas,1949.7099,5132.2343,7081.9441,5095.8126,27073.1141,32168.9267,127.9463,0.0,1553.0433,1276.688,0.0,7165.1302,7165.1302,-4416.3415,7081.9442,32168.9267,2829.7313000000004,7165.1302,3482.8647,26765.4394,39250.8709,42208.548500000004,43633.6482
2004T1,2004,1,,,,,,,,3114.6325,S123,Fondos mercado monetario,155.6109,404.038,559.6489,,,,0.0,0.807817000000001,,,,,,,559.6489,0.0,0.0,0.0,0.0,0.0,559.6489,560.456717,3114.6325
2004T1,2004,1,,,,,,,,4094.3797,S124,Fondos mercado no monetario,226.6688,1461.8537,,0.0,25.5163,25.5163,2.3236,78.118,,,,,,-208.5433,1688.5224999999998,25.5163,0.0,0.0,0.0,0.0,1714.0387999999998,1794.4803999999997,4094.3797
2004T1,2004,1,57752.7846,1024.0084,4117.8412,5141.8496,,,0.3988,53948.0593,S125_S126,Otros intermediarios y auxiliares,41.2447,536.8387,578.0833,341.9746,1004.8221,1346.7966,548.1663,413.7785,856.9309,1344.9739,,,,,578.0834,1346.7966999999999,2201.9048,0.0,5141.8496,0.0,1924.8800999999999,5088.7297,57752.7846
2004T1,2004,1,10671.4709,,,,,,,,S128,Compañías de seguros,20.9934,7429.4536,,,,,,,70.0188,169.3458,,,,,7450.447,0.0,239.3646,0.0,0.0,0.0,7450.447,7689.8116,10671.4709
2004T1,2004,1,30847.4526,,,,,,,30847.452,S129,Fondos de pensiones,71.5816,13005.4159,,0.0,0.0,0.0,0.0,7972.0126,47.7879,5278.4038,,,,,13076.9975,0.0,5326.1917,0.0,0.0,0.0,13076.9975,26375.201800000003,30847.4526
2004T1,2004,1,10312.1693,0.0452,4770.5698,4770.615,,,0.0,13550.2114,S13,Gobierno general,0.0,64.4146,,,,,,,1161.6198,762.8308,0.0,6425.1913,6425.1913,,64.4146,0.0,1924.4506,6425.1913,4770.615,0.0,64.4146,1988.8652,10312.1693
2004T1,2004,1,101312.0868,2015.1561,30155.4615,32170.6176,,,,189211.6277,S11,Empresas no financieras,28.052,2767.3072,2795.3592,0.4752,1247.6771,1248.1523,897.7265,253.528,2168.5411,5745.9989,93.7004,9388.7352,9482.4356,-87899.5409,2795.3592000000003,1248.1523000000002,7914.539999999999,9482.435599999999,32170.6176,0.0,4043.5115000000005,13109.306,101312.0868
2004T1,2004,1,89990.9352,1771.7961,11470.2259,13242.0221,,,,14259.639,S14_S15,Hogares e IPSFLSH,8.3195,19.9988,28.3183,,,,1338.2385,2018.6898,5005.9481,6823.0096,,,,75731.2961,28.3183,0.0,11828.957699999999,0.0,13242.021999999999,0.0,28.3183,15214.2043,89990.9352
2004T1,2004,1,63464.2197,,,,,,,46098.283,S2,Resto del mundo,0.0,6929.9971,,1427.8478,16412.5779,17840.4256,138.7708,134.9873,153.0263,39.709,,,,,6929.9971,17840.4257,192.7353,0.0,0.0,0.0,24770.4228,25236.9162,63464.2197
2004T2,2004,2,16120.7496,2.3425,152.0342,154.3767,2675.1222,114.3412,2789.4634,16693.9571,S121,Banco Central,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,154.3767,2789.4633999999996,0.0,0.0,16120.7496
2004T2,2004,2,46231.6201,2616.7763,1809.3577,4426.134,5906.7348,21823.8799,27730.6147,50767.2674,S122,Bancos y cooperativas,1766.5284,5203.2876,6969.816,5471.7151,27895.6073,33367.3224,90.5491,0.0,1795.3339,1133.9003,0.0,7063.8878,7063.8878,-4535.6473,6969.816,33367.3224,2929.2342,7063.8878,4426.134,27730.6147,40337.138399999996,43356.92169999999,46231.6201
2004T2,2004,2,,,,,,,,3045.662,S123,Fondos mercado monetario,78.9792,517.2231,596.2022,,,,0.2466,0.383218,,,,,,,596.2023,0.0,0.0,0.0,0.0,0.0,596.2023,596.832118,3045.662
2004T2,2004,2,,,,,,,,4683.5172,S124,Fondos mercado no monetario,241.5514,1771.2379,,0.0,20.7127,20.7127,2.2699,79.5736,,,,,,-216.2192,2012.7893000000001,20.7127,0.0,0.0,0.0,0.0,2033.5020000000002,2115.3455000000004,4683.5172
2004T2,2004,2,58956.0404,1024.1488,4156.7432,5180.892,,,0.4377,54709.4091,S125_S126,Otros intermediarios y auxiliares,39.9478,536.9048,576.8526,350.7993,1054.6674,1405.4667,547.4341,429.4707,904.2181,1319.4337,,,,,576.8526,1405.4667,2223.6518,0.0,5180.892,0.0,1982.3193,5182.875900000001,58956.0404
2004T2,2004,2,11004.8387,,,,,,,,S128,Compañías de seguros,23.7008,7673.4735,,,,,,,63.1581,195.0086,,,,,7697.1743,0.0,258.1667,0.0,0.0,0.0,7697.1743,7955.340999999999,11004.8387
2004T2,2004,2,31299.2347,,,,,,,31299.2342,S129,Fondos de pensiones,56.8744,12758.2345,,0.0,0.0,0.0,0.0,8186.9475,58.2073,5696.6129,,,,,12815.108900000001,0.0,5754.8202,0.0,0.0,0.0,12815.108900000001,26756.876600000003,31299.2347
2004T2,2004,2,10592.6857,0.0484,4626.9429,4626.9913,,,0.0,13422.8494,S13,Gobierno general,0.0,104.4584,,,,,,,1326.038,592.5582,0.0,6368.6535,6368.6535,,104.4584,0.0,1918.5962,6368.6535,4626.9913,0.0,104.4584,2023.0546,10592.6857
2004T2,2004,2,100472.6025,2181.8365,30182.9656,32364.8021,,,,191657.6122,S11,Empresas no financieras,182.4427,2891.8051,3074.2478,0.4653,1258.9438,1259.409,896.6691,421.7275,2426.3403,5656.3154,130.2581,9708.557,9838.8151,-91185.0097,3074.2478,1259.4091,8082.6557,9838.8151,32364.8021,0.0,4333.6569,13734.709200000001,100472.6025
2004T2,2004,2,92483.2749,1786.0346,11977.0091,13763.0437,,,,14829.9548,S14_S15,Hogares e IPSFLSH,3.8927,25.7022,29.5949,,,,1308.6045,2412.2145,5881.0012,6793.1016,,,,77653.3201,29.594900000000003,0.0,12674.1028,0.0,13763.043699999998,0.0,29.594900000000003,16424.5167,92483.2749
2004T2,2004,2,65564.4043,,,,,,,47571.4042,S2,Resto del mundo,0.0,6747.2216,,1537.2356,16210.2289,17747.4645,135.6978,160.5195,148.5948,30.1593,,,,,6747.2216,17747.464500000002,178.7541,0.0,0.0,0.0,24494.686100000003,24969.6575,65564.4043
2004T3,2004,3,15158.1865,1.379,147.0827,148.4617,2410.866,386.2492,2797.1152,15738.6558,S121,Banco Central,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,148.46169999999998,2797.1152,0.0,0.0,15158.1865
2004T3,2004,3,47408.029,2026.8034,1526.4837,3553.2871,5699.9865,22919.0268,28619.0133,52345.894,S122,Bancos y cooperativas,1872.3759,4797.6391,6670.015,5437.3257,29008.2835,34445.6092,107.7962,0.0,1533.1096,935.9707,0.0,7365.1135,7365.1135,-4937.865,6670.015,34445.6092,2469.0803,7365.1135,3553.2871,28619.0133,41115.6242,43692.5007,47408.029
2004T3,2004,3,,,,,,,,3190.4101,S123,Fondos mercado monetario,66.4029,488.4772,554.8802,,,,0.2816,0.436297,,,,,,,554.8801,0.0,0.0,0.0,0.0,0.0,554.8801,555.597997,3190.4101
2004T3,2004,3,,,,,,,,5414.5367,S124,Fondos mercado no monetario,255.5366,2101.5393,,0.0,18.8897,18.8897,2.3888,84.4295,,,,,,-221.9748,2357.0759,18.8897,0.0,0.0,0.0,0.0,2375.9656,2462.7839000000004,5414.5367
2004T3,2004,3,60593.9491,1038.64,4226.6599,5265.2999,,,0.477,56453.9317,S125_S126,Otros intermediarios y auxiliares,42.3266,542.713,585.0395,338.3722,1125.9549,1464.3271,563.8531,439.3874,708.1554,1337.8463,,,,,585.0396,1464.3271,2046.0016999999998,0.0,5265.2999,0.0,2049.3667,5098.608899999999,60593.9491
2004T3,2004,3,11581.7713,,,,,,,,S128,Compañías de seguros,40.1088,8077.3854,,,,,,,77.5206,227.0052,,,,,8117.4942,0.0,304.5258,0.0,0.0,0.0,8117.4942,8422.02,11581.7713
2004T3,2004,3,32613.1321,,,,,,,32613.1317,S129,Fondos de pensiones,118.4116,12254.8939,,0.0,0.0,0.0,0.0,8305.3806,79.703,6442.2802,,,,,12373.305499999999,0.0,6521.983200000001,0.0,0.0,0.0,12373.305499999999,27200.669299999998,32613.1321
2004T3,2004,3,10344.376,0.0516,4458.8511,4458.9027,,,0.0,13484.1625,S13,Gobierno general,0.0,73.4772,,,,,,,1278.1269,828.1086,0.0,6465.9567,6465.9567,,73.4772,0.0,2106.2355,6465.9567,4458.9027,0.0,73.4772,2179.7126999999996,10344.376
2004T3,2004,3,103926.3873,2146.7475,30617.9259,32764.6734,,,,196301.2084,S11,Empresas no financieras,289.0439,2849.5963,3138.6401,0.4487,1263.3075,1263.7562,927.0186,517.9516,2217.4818,5705.4186,131.186,9785.9672,9917.1532,-92374.8211,3138.6402000000003,1263.7561999999998,7922.9004,9917.153199999999,32764.6734,0.0,4402.3964,13770.267,103926.3873
2004T3,2004,3,95494.8849,1817.4979,12669.6763,14487.1742,,,,15620.8516,S14_S15,Hogares e IPSFLSH,4.17,29.5345,33.7045,,,,1370.7973,2829.96,6302.2015,6717.4294,,,,79874.0332,33.7045,0.0,13019.6309,0.0,14487.1742,0.0,33.7045,17254.0927,95494.8849
2004T3,2004,3,64088.2505,,,,,,,46502.2466,S2,Resto del mundo,0.0,6489.6828,,1440.4681,15785.1268,17225.5949,142.147,188.0019,133.6955,28.8225,,,,,6489.6828,17225.5949,162.518,0.0,0.0,0.0,23715.2777,24207.9446,64088.2505
2004T4,2004,4,14862.7187,8.8914,144.963,153.8544,3461.9724,329.7433,3791.7157,15373.1933,S121,Banco Central,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,153.8544,3791.7157,0.0,0.0,14862.7187
2004T4,2004,4,48853.8899,2916.5933,1740.1061,4656.6994,6461.8398,23794.3587,30256.1985,54130.2296,S122,Bancos y cooperativas,1566.8661,4511.8305,6078.6966,5535.6835,30279.4271,35815.1106,128.5537,0.0,2233.2534,1415.5208,0.0,7417.1892,7417.1892,-5276.3397,6078.6966,35815.1106,3648.7742,7417.1892,4656.6993999999995,30256.1985,41893.8072,45671.1351,48853.8899
2004T4,2004,4,,,,,,,,3136.1552,S123,Fondos mercado monetario,20.3837,338.9766,359.3602,,,,0.1443,0.511823,,,,,,,359.3603,0.0,0.0,0.0,0.0,0.0,359.3603,360.016423,3136.1552
2004T4,2004,4,,,,,,,,4866.4698,S124,Fondos mercado no monetario,192.3741,1852.2659,,0.0,15.9247,15.9247,2.4987,112.0846,,,,,,-222.2729,2044.64,15.9247,0.0,0.0,0.0,0.0,2060.5647,2175.148,4866.4698
2004T4,2004,4,61700.4484,1079.7938,4301.0073,5380.8011,,,0.5163,58066.9248,S125_S126,Otros intermediarios y auxiliares,37.4144,534.5283,571.9427,344.2901,1176.9329,1521.2231,543.7436,396.6311,908.6845,1416.0047,,,,,571.9427,1521.223,2324.6892,0.0,5380.801100000001,0.0,2093.1657,5358.2296,61700.4484
2004T4,2004,4,11956.1484,,,,,,,,S128,Compañías de seguros,33.5763,8304.0848,,,,,,,66.8503,295.2689,,,,,8337.661100000001,0.0,362.1192,0.0,0.0,0.0,8337.661100000001,8699.7803,11956.1484
2004T4,2004,4,34074.0163,,,,,,,34074.0156,S129,Fondos de pensiones,162.7078,12099.9803,,0.0,0.0,0.0,0.0,9189.6945,67.3685,6626.1879,,,,,12262.6881,0.0,6693.5563999999995,0.0,0.0,0.0,12262.6881,28145.939,34074.0163
2004T4,2004,4,9465.7099,0.0549,3765.786,3765.8408,,,0.0,12622.4448,S13,Gobierno general,0.0,78.0332,,,,,,,1279.8552,696.2231,0.0,6403.1507,6403.1507,,78.0332,0.0,1976.0783000000001,6403.1507,3765.8409,0.0,78.0332,2054.1115,9465.7099
2004T4,2004,4,112736.4683,2124.5242,29116.9243,31241.4485,,,,200863.0432,S11,Empresas no financieras,616.2638,3791.8615,4408.1253,0.4105,1211.9958,1212.4063,902.1285,479.612,2585.7002,6398.2997,130.7886,9974.7385,10105.527,-88126.5749,4408.1253,1212.4062999999999,8983.999899999999,10105.5271,31241.4485,0.0,5620.531599999999,15986.271999999997,112736.4683
2004T4,2004,4,97218.2799,1878.2965,13319.7653,15198.0618,,,,16433.382,S14_S15,Hogares e IPSFLSH,5.8772,31.8792,37.7564,,,,1347.486,2420.2281,6496.3504,6811.3639,,,,80784.8978,37.7564,0.0,13307.7143,0.0,15198.0618,0.0,37.7564,17113.1848,97218.2799
2004T4,2004,4,60904.4603,,,,,,,47719.2894,S2,Resto del mundo,0.0,6448.1632,,1371.7523,13781.6243,15153.3765,139.7297,161.7022,118.7101,27.3113,,,,,6448.1632,15153.3766,146.0214,0.0,0.0,0.0,21601.5398,22048.9931,60904.4603
