periodo,año,trimestre,sector_codigo,sector_nombre,activo_red_nbfi_sector,exp_nbfi_en_bancos,ratio_exp_nbfi_bancos
2009T1,2009,1,S123,FMM,9514.67769155,8560.298302404999,0.8996939864823181
2009T2,2009,2,S123,FMM,10601.007790925001,9615.187230262,0.907006901597892
2009T3,2009,3,S123,FMM,10848.767368978999,9602.747312594998,0.8851463936864501
2009T4,2009,4,S123,FMM,10661.512796482999,9481.140671632998,0.8892866193210986
2010T1,2010,1,S123,FMM,11918.962783177001,9776.211341510001,0.820223329777371
2010T2,2010,2,S123,FMM,11040.927035841,9769.099786837001,0.8848079291824501
2010T3,2010,3,S123,FMM,8690.747356272,7562.787894209,0.8702114541105643
2010T4,2010,4,S123,FMM,9220.624617619,8305.110386204,0.90071017209988
2011T1,2011,1,S123,FMM,9242.371300731,8166.27627715,0.8835693797006523
2011T2,2011,2,S123,FMM,9050.270293821,7882.135252217,0.8709281597477221
2011T3,2011,3,S123,FMM,9688.454700998,8571.059083794999,0.8846673023007581
2011T4,2011,4,S123,FMM,10092.907240656,9217.447039551,0.9132598586085787
2012T1,2012,1,S123,FMM,9957.344859497001,9323.907076450001,0.936384870466463
2012T2,2012,2,S123,FMM,10973.687196017001,10414.629424234,0.949054701323552
2012T3,2012,3,S123,FMM,11377.747530657001,10858.779280751003,0.9543874349024134
2012T4,2012,4,S123,FMM,10937.116375148002,10412.246647772,0.9520102274335636
2013T1,2013,1,S123,FMM,11877.318706074,11123.112848658,0.9365003267083922
2013T2,2013,2,S123,FMM,12687.698978559,11892.782996583997,0.9373475061696896
2013T3,2013,3,S123,FMM,12539.392676139001,11727.083254204,0.9352193967511098
2013T4,2013,4,S123,FMM,12339.606164393,11486.323325309999,0.9308500751389276
2014T1,2014,1,S123,FMM,13026.593192585999,11993.202596011999,0.9206706940720197
2014T2,2014,2,S123,FMM,12435.937018504997,11208.267752778998,0.9012805175919438
2014T3,2014,3,S123,FMM,13360.937457024998,11944.855927910998,0.8940133105428584
2014T4,2014,4,S123,FMM,13846.402962284,12779.689206745,0.9229609481650501
2015T1,2015,1,S123,FMM,13761.765880819,12681.624492028,0.9215114253399348
2015T2,2015,2,S123,FMM,14053.553178780001,13034.493212845,0.9274873796703799
2015T3,2015,3,S123,FMM,14383.366772721,13444.979647967,0.934758868380266
2015T4,2015,4,S123,FMM,14204.872614221,13594.551100383,0.9570343550123085
2016T1,2016,1,S123,FMM,15352.900822824,14226.328257932,0.9266215174648162
2016T2,2016,2,S123,FMM,15133.788110795,14222.332033871999,0.9397734347639732
2016T3,2016,3,S123,FMM,14960.422439696998,13943.708515580998,0.9320397583548053
2016T4,2016,4,S123,FMM,15145.407553449,14301.880777678,0.9443047819747242
2017T1,2017,1,S123,FMM,16697.074664232,15537.160652578,0.9305319024452388
2017T2,2017,2,S123,FMM,16769.298177983,15499.953615555001,0.9243054450487042
2017T3,2017,3,S123,FMM,17141.046948396997,16072.212411131999,0.9376447342754082
2017T4,2017,4,S123,FMM,15691.046012397,14761.492684016,0.9407589954393997
2018T1,2018,1,S123,FMM,18060.317840666,16376.105487894,0.9067451432676507
2018T2,2018,2,S123,FMM,18147.03090282,16507.301966858,0.9096420265803817
2018T3,2018,3,S123,FMM,18031.541674696,16141.092948033998,0.8951587856009615
2018T4,2018,4,S123,FMM,17235.829011476,15545.905098123998,0.9019528499483946
2019T1,2019,1,S123,FMM,18594.211181159,16070.876400666999,0.8642946045999076
2019T2,2019,2,S123,FMM,19644.660541667,17752.045550313997,0.9036575364924886
2019T3,2019,3,S123,FMM,20066.606289035,18947.343656843,0.9442226245898092
2019T4,2019,4,S123,FMM,22946.204800971,21246.358534870003,0.9259203741601284
2020T1,2020,1,S123,FMM,26756.088140497002,24792.967770414,0.9266290214109552
2020T2,2020,2,S123,FMM,29025.381867835997,24077.179693043996,0.8295215478189705
2020T3,2020,3,S123,FMM,28471.574895841,17562.627616638998,0.6168477746977202
2020T4,2020,4,S123,FMM,26633.597681409,18187.529738306,0.6828791947623887
2021T1,2021,1,S123,FMM,26625.097037949,17598.304202346997,0.6609667629479048
2021T2,2021,2,S123,FMM,26064.355864146997,17023.643636943998,0.6531388585114044
2021T3,2021,3,S123,FMM,27009.597786712995,13777.232610061998,0.5100865521529359
2021T4,2021,4,S123,FMM,25469.101393858997,11281.179197573,0.4429358940905968
2022T1,2022,1,S123,FMM,24110.440239638003,10854.251049482,0.4501888369353544
2022T2,2022,2,S123,FMM,25845.376878455994,12446.464610194998,0.4815741193764535
2022T3,2022,3,S123,FMM,26194.380209496998,12908.494838755,0.49279634545714174
2022T4,2022,4,S123,FMM,25228.288086469995,13855.041002472999,0.5491867286034163
2023T1,2023,1,S123,FMM,26359.814248655995,14419.756671663996,0.5470355950023136
2023T2,2023,2,S123,FMM,28330.978208433997,15445.829864442996,0.5451922538927669
2023T3,2023,3,S123,FMM,32876.10297762099,15745.539369632996,0.47893569929352947
2023T4,2023,4,S123,FMM,34078.654430851,16885.762745863,0.49549382239037354
2024T1,2024,1,S123,FMM,38168.370137435995,19205.060910445998,0.5031669112747742
2024T2,2024,2,S123,FMM,41259.990153103,23316.777247753,0.5651183425209674
2024T3,2024,3,S123,FMM,42347.15401263399,26277.627444607995,0.6205287712314325
2024T4,2024,4,S123,FMM,42716.75076607899,27547.955043393995,0.6448981851229563
2025T1,2025,1,S123,FMM,42957.914529441,28408.475717373,0.6613094706425608
2025T2,2025,2,S123,FMM,45577.250240682995,30414.377004697,0.6673148740673397
2025T3,2025,3,S123,FMM,42753.889371738,26391.177429647,0.6172813238154797
2003T1,2003,1,S124,FNM,1999.099926338,1194.31088481,0.5974243053461404
2003T2,2003,2,S124,FNM,2041.0864298359998,1066.30747783,0.5224215213246395
2003T3,2003,3,S124,FNM,2345.1233556760003,1272.620800449,0.5426668910054656
2003T4,2003,4,S124,FNM,2277.187611969,1092.9235843089998,0.47994446244329825
2004T1,2004,1,S124,FNM,2830.950377932,1480.9537168229995,0.5231295215795451
2004T2,2004,2,S124,FNM,3401.2798521929994,1915.2618480840006,0.563100342022466
2004T3,2004,3,S124,FNM,3956.498865136,2211.2442400460013,0.5588891379525247
2004T4,2004,4,S124,FNM,3228.6470053119997,1719.9616192219978,0.5327190047076049
2005T1,2005,1,S124,FNM,3083.085494692,1608.1345650199992,0.5215990824090501
2005T2,2005,2,S124,FNM,3655.5504395719995,1933.710749561998,0.5289793648117194
2005T3,2005,3,S124,FNM,4172.214791797,2296.7038585400023,0.5504759397947481
2005T4,2005,4,S124,FNM,2686.119038419,1395.4493731930002,0.519503921171839
