periodo,año,trimestre,tipo_cuenta,sector_activo_codigo,sector_activo_nombre,sector_pasivo_codigo,sector_pasivo_nombre,instrumento,valor
2003T1,2003,1,Bce Final,S125_S126,Otros intermediarios financieros y Auxiliares financieros,S121,Banco Central,Dinero legal,26.0980396
2003T1,2003,1,Bce Final,S125_S126,Otros intermediarios financieros y Auxiliares financieros,S2,Resto del mundo,Dinero legal,20.208185500000003
2003T1,2003,1,Bce Final,S128,Compañías de seguro,S121,Banco Central,Dinero legal,7.026230000000001
2003T1,2003,1,Bce Final,S13,Gobierno general,S121,Banco Central,Dinero legal,893.1362051089999
2003T1,2003,1,Bce Final,S14_S15,Hogares,S121,Banco Central,Dinero legal,62.8687647910004
2003T1,2003,1,Bce Final,S11,Empresas no financieras,S11,Empresas no financieras,Prestamos,0.54945
2003T1,2003,1,Bce Final,S11,Empresas no financieras,S122,Bancos y cooperativas,Prestamos,-1.0641088010743261e-13
2003T1,2003,1,Bce Final,S11,Empresas no financieras,S2,Resto del mundo,Prestamos,1195.7886363130003
2003T1,2003,1,Bce Final,S121,Banco Central,S122,Bancos y cooperativas,Prestamos,11.013919999999926
2003T1,2003,1,Bce Final,S121,Banco Central,S125_S126,Otros intermediarios financieros y Auxiliares financieros,Prestamos,1389.69141
2003T1,2003,1,Bce Final,S121,Banco Central,S13,Gobierno general,Prestamos,4811.09088
2003T1,2003,1,Bce Final,S121,Banco Central,S2,Resto del mundo,Prestamos,3.3985499999999957
2003T1,2003,1,Bce Final,S122,Bancos y cooperativas,S11,Empresas no financieras,Prestamos,18628.00085024403
2003T1,2003,1,Bce Final,S122,Bancos y cooperativas,S122,Bancos y cooperativas,Prestamos,608.7276551580001
2003T1,2003,1,Bce Final,S122,Bancos y cooperativas,S124,Fondos del mercado no monetario,Prestamos,47.900400000000005
2003T1,2003,1,Bce Final,S122,Bancos y cooperativas,S125_S126,Otros intermediarios financieros y Auxiliares financieros,Prestamos,1881.6464071619253
2003T1,2003,1,Bce Final,S122,Bancos y cooperativas,S128,Compañías de seguro,Prestamos,84.158492118
2003T1,2003,1,Bce Final,S122,Bancos y cooperativas,S13,Gobierno general,Prestamos,99.24502500001002
2003T1,2003,1,Bce Final,S122,Bancos y cooperativas,S14_S15,Hogares,Prestamos,9011.570400000004
2003T1,2003,1,Bce Final,S122,Bancos y cooperativas,S2,Resto del mundo,Prestamos,480.359130318
2003T1,2003,1,Bce Final,S124,Fondos del mercado no monetario,S11,Empresas no financieras,Prestamos,-1.3642420526593924e-15
2003T1,2003,1,Bce Final,S124,Fondos del mercado no monetario,S14_S15,Hogares,Prestamos,34.10881
2003T1,2003,1,Bce Final,S125_S126,Otros intermediarios financieros y Auxiliares financieros,S11,Empresas no financieras,Prestamos,498.1700693012902
2003T1,2003,1,Bce Final,S125_S126,Otros intermediarios financieros y Auxiliares financieros,S125_S126,Otros intermediarios financieros y Auxiliares financieros,Prestamos,0.0
2003T1,2003,1,Bce Final,S125_S126,Otros intermediarios financieros y Auxiliares financieros,S14_S15,Hogares,Prestamos,546.50298
2003T1,2003,1,Bce Final,S128,Compañías de seguro,S11,Empresas no financieras,Prestamos,301.97401
2003T1,2003,1,Bce Final,S128,Compañías de seguro,S125_S126,Otros intermediarios financieros y Auxiliares financieros,Prestamos,0.0
2003T1,2003,1,Bce Final,S128,Compañías de seguro,S14_S15,Hogares,Prestamos,1010.12875
2003T1,2003,1,Bce Final,S13,Gobierno general,S11,Empresas no financieras,Prestamos,505.93708
2003T1,2003,1,Bce Final,S13,Gobierno general,S121,Banco Central,Prestamos,37.20902
2003T1,2003,1,Bce Final,S13,Gobierno general,S122,Bancos y cooperativas,Prestamos,159.27904000000015
2003T1,2003,1,Bce Final,S13,Gobierno general,S14_S15,Hogares,Prestamos,749.7467450051901
2003T1,2003,1,Bce Final,S2,Resto del mundo,S11,Empresas no financieras,Prestamos,15906.546877507002
2003T1,2003,1,Bce Final,S2,Resto del mundo,S121,Banco Central,Prestamos,126.91073
2003T1,2003,1,Bce Final,S2,Resto del mundo,S122,Bancos y cooperativas,Prestamos,2473.110818962
2003T1,2003,1,Bce Final,S2,Resto del mundo,S125_S126,Otros intermediarios financieros y Auxiliares financieros,Prestamos,1721.1028257379999
2003T1,2003,1,Bce Final,S2,Resto del mundo,S128,Compañías de seguro,Prestamos,0.729917882
2003T1,2003,1,Bce Final,S2,Resto del mundo,S13,Gobierno general,Prestamos,1146.123613611
