periodo,año,trimestre,sector_pasivo_codigo,total_credito,hhi,n_acreedores,part_bancario,part_nbfi,sector_nombre
2021T3,2021,3,S11,235986.46086773963,3764.5857479050846,11,0.41292607791497365,0.12933260467402855,Empresas no financieras
2021T4,2021,4,S11,243699.0047864375,3815.787875339168,11,0.4087138787073695,0.12542547643492855,Empresas no financieras
2022T1,2022,1,S11,238730.57136743097,3759.9396057309787,11,0.42072853925026826,0.1325386628755849,Empresas no financieras
2022T2,2022,2,S11,262689.9358177901,3780.4331538905876,11,0.40327649112314456,0.13072741174814456,Empresas no financieras
2022T3,2022,3,S11,270808.00999561255,3829.961300561965,11,0.3992582422234646,0.12843501073742628,Empresas no financieras
2022T4,2022,4,S11,257466.18821987376,3693.552983261726,11,0.4135601796853646,0.1436926824413052,Empresas no financieras
2023T1,2023,1,S11,246010.79336567415,3646.9245165473117,11,0.4294453832370269,0.14860210947802566,Empresas no financieras
2023T2,2023,2,S11,250331.3693083049,3650.999370924224,11,0.4203915926166317,0.14918051858809134,Empresas no financieras
2023T3,2023,3,S11,267036.3663091886,3763.4151053325436,11,0.4017860783876876,0.13680852461514287,Empresas no financieras
2023T4,2023,4,S11,269842.59141142655,3720.760062490147,11,0.3942742371048366,0.14049366037367098,Empresas no financieras
2024T1,2024,1,S11,288243.0188199942,3816.4108094845938,11,0.3717344932450103,0.13560842485421942,Empresas no financieras
2024T2,2024,2,S11,284719.25070907245,3801.5804866118265,11,0.3763926679098352,0.13481055076767945,Empresas no financieras
2024T3,2024,3,S11,279962.84577684215,3693.881881193766,11,0.37354616234219595,0.14793826362053647,Empresas no financieras
2024T4,2024,4,S11,293571.9821721197,3744.598187230237,11,0.3686743512574864,0.14461032900067095,Empresas no financieras
2025T1,2025,1,S11,289453.5958621355,3717.8989777245324,11,0.3715682884772205,0.14741355419598529,Empresas no financieras
2025T2,2025,2,S11,290896.9042083045,3696.71548237636,11,0.3741746380336801,0.148201739932479,Empresas no financieras
2025T3,2025,3,S11,300059.0660043638,3697.3345808642944,11,0.3658708834208255,0.15058003629810154,Empresas no financieras
2003T1,2003,1,S14_S15,11352.057685005195,6447.677291598638,5,0.7938270444047589,0.14012794720918229,Hogares
2003T2,2003,2,S14_S15,11692.990620005194,6469.575851855764,5,0.7953319404951231,0.13970753788214998,Hogares
2003T3,2003,3,S14_S15,11989.285035005161,6479.853745405282,5,0.796095864109706,0.14019227294142622,Hogares
2003T4,2003,4,S14_S15,12432.691910005202,6532.892520066805,5,0.7997574388534687,0.13911067309632036,Hogares
2004T1,2004,1,S14_S15,13242.022060005203,6602.155145977547,5,0.8044635669483107,0.13629648340876505,Hogares
2004T2,2004,2,S14_S15,13763.043740005203,6669.185685207386,5,0.8090275349219949,0.13398040395963334,Hogares
2004T3,2004,3,S14_S15,14487.1741800052,6797.871341136026,5,0.8176245907464992,0.12772389680755086,Hogares
2004T4,2004,4,S14_S15,15198.0618400052,6888.475749123075,5,0.8235984023338938,0.12424213033728213,Hogares
2005T1,2005,1,S14_S15,15676.637920005202,6953.315004729572,5,0.8278271550457353,0.12323831805380876,Hogares
2005T2,2005,2,S14_S15,16249.255760005204,7018.272199048041,5,0.831982559673593,0.12113007445206028,Hogares
2005T3,2005,3,S14_S15,17121.8437800052,7189.175017084503,5,0.8427269338159806,0.12093081426300521,Hogares
