periodo,sector_codigo,exposicion_pasivo,ASF_t,IS_pasivo,exposicion_activo,IS_activo,activo_red_nbfi_sector,exp_nbfi_en_bancos,ratio_exp_nbfi_bancos,activo_bancos_red,exp_bancos_en_nbfi,ratio_exp_bancos_nbfi,activo_nbfi_red_total,ratio_exp_nbfi_bancos_agg,sector_nombre,año,trimestre
2014T1,S11,75897.82674487271,467807.8379,0.16224146026620628,37770.13043501256,0.0807385583887682,,,,,,,139406.55946445273,0.3266614378786054,Empresas no financieras,2014,1
2014T2,S11,77306.96615825771,477494.5723,0.16190124588408375,39074.14598879942,0.08183160240039324,,,,,,,146056.76181251652,0.32033402999019256,Empresas no financieras,2014,2
2014T3,S11,79140.58387475794,503869.1059,0.15706575963493288,40264.5175913216,0.07991066949699564,,,,,,,154141.88249984942,0.3180341278756109,Empresas no financieras,2014,3
2014T4,S11,81794.19742423894,512802.4607,0.15950429978940805,43295.341328296636,0.08442888762506408,,,,,,,157425.30827464722,0.3244695712529327,Empresas no financieras,2014,4
2015T1,S11,82254.25789035021,523297.8971,0.15718438454689945,42964.45221459035,0.08210323881041705,,,,,,,164222.4350267388,0.31548173805807395,Empresas no financieras,2015,1
2015T2,S11,83761.91285829859,529911.9463,0.1580676062186345,43858.113258249214,0.08276490757470062,,,,,,,167337.66329706355,0.31216184315259016,Empresas no financieras,2015,2
2015T3,S11,87090.17039187379,551870.4569999999,0.15780908234389107,43936.32063132178,0.07961346738899956,,,,,,,172599.40353555142,0.32286715818766387,Empresas no financieras,2015,3
2015T4,S11,88415.93979124106,562527.3965,0.15717623771101263,45661.30620092162,0.08117170200957781,,,,,,,174388.94607267686,0.3234430654833525,Empresas no financieras,2015,4
2016T1,S11,89963.47015517899,564164.5089,0.1594631862443607,43956.21905432879,0.07791383250965929,,,,,,,179868.9029955596,0.3281431566055983,Empresas no financieras,2016,1
2016T2,S11,90689.96668325529,570401.3791,0.15899324581989827,44995.47238466286,0.07888387727192797,,,,,,,183836.01623941562,0.3239563394547435,Empresas no financieras,2016,2
2016T3,S11,92724.85118797449,583287.5252,0.15896937133394137,45774.593523963726,0.07847689440686795,,,,,,,194519.87748182184,0.3219654178774587,Empresas no financieras,2016,3
2016T4,S11,94485.20210524672,594810.4864,0.15884925411638928,49960.50795831144,0.08399399321402319,,,,,,,192880.4546763859,0.3246619800761735,Empresas no financieras,2016,4
2017T1,S11,95477.99887939033,610995.1492,0.15626637789907732,49813.59218130024,0.08152862137534667,,,,,,,202612.5639099554,0.3192387310174865,Empresas no financieras,2017,1
2017T2,S11,96775.4131437402,621841.1999,0.15562721344179659,49303.56234599089,0.07928641967421832,,,,,,,209841.06646464716,0.3178624919287622,Empresas no financieras,2017,2
2017T3,S11,97003.26866585934,628954.9363000001,0.1542292826836016,49978.14764184598,0.07946220747682838,,,,,,,211208.25365753216,0.3182045271515782,Empresas no financieras,2017,3
2017T4,S11,97608.43999253602,635545.342,0.15358218138358415,52083.578042691326,0.0819510027070442,,,,,,,209196.36684665093,0.319559623788891,Empresas no financieras,2017,4
2018T1,S11,98761.62986035379,642440.7146000001,0.15372878401993137,51815.709874891436,0.08065446148934259,,,,,,,216465.84891498223,0.3262078950821255,Empresas no financieras,2018,1
2018T2,S11,102991.59395584275,657140.2011,0.15672697208821357,53907.877056568286,0.08203405752125775,,,,,,,221265.72632045473,0.32353374389182094,Empresas no financieras,2018,2
2018T3,S11,105036.06785539593,672288.4557,0.15623660790966623,53796.493257649316,0.08001995691214918,,,,,,,227270.9255947629,0.3162239676144043,Empresas no financieras,2018,3
2018T4,S11,106725.82811963576,688318.9493,0.15505286935391327,56711.06605288256,0.08239067965592992,,,,,,,227440.66934865073,0.32327001337855094,Empresas no financieras,2018,4
2019T1,S11,108277.66256635115,698015.9465,0.15512204715275965,56898.25159188035,0.08151425748534866,,,,,,,239544.9951621618,0.31009875832244993,Empresas no financieras,2019,1
2019T2,S11,112547.91742947935,714512.2006,0.15751713873460674,58374.63598602314,0.08169858532437094,,,,,,,252383.19318210066,0.3063200695033797,Empresas no financieras,2019,2
2019T3,S11,117301.6859059503,751135.4391000001,0.1561658254954653,60767.80809202411,0.08090126617489284,,,,,,,269156.2061702965,0.3112217088003066,Empresas no financieras,2019,3
2019T4,S11,117667.05112975687,773372.9881,0.15214786776926076,60150.15853023642,0.07777638921422839,,,,,,,269140.3602467593,0.3217087724795696,Empresas no financieras,2019,4
2020T1,S11,121312.2112837161,772914.0499,0.1569543357368281,60674.670949381485,0.07850118775461723,,,,,,,258422.2982414331,0.33550676550068764,Empresas no financieras,2020,1
2020T2,S11,129609.89012157237,823489.8595,0.15739099714022936,64897.16078504965,0.07880748018494531,,,,,,,280434.94188450003,0.30359107811564107,Empresas no financieras,2020,2
2020T3,S11,129281.9948916082,816116.1797,0.15841126313551532,64495.7877330694,0.07902770382125951,,,,,,,271425.5288100677,0.2700091930055477,Empresas no financieras,2020,3
2020T4,S11,125781.2975846822,811676.0650000001,0.154964896722293,63783.5637575481,0.07858253619631879,,,,,,,267000.2412679583,0.2698844381937621,Empresas no financieras,2020,4
2021T1,S11,126912.03339179557,828065.1658,0.15326334041498402,66849.38260142709,0.08072961569014124,,,,,,,267710.7895249381,0.2634989286328648,Empresas no financieras,2021,1
