periodo,año,trimestre,sector_codigo,sector_nombre,A_notional_nominal_total,A_notional_real_total
2014T3,2014,3,S11,Empresas no financieras,60828.11435089849,3.143189791189122
2014T4,2014,4,S11,Empresas no financieras,63500.870393936646,3.2517188523874827
2015T1,2015,1,S11,Empresas no financieras,62267.19617286878,3.2016158899653737
2015T2,2015,2,S11,Empresas no financieras,63753.55112150912,3.2611106395322915
2015T3,2015,3,S11,Empresas no financieras,69550.96857105523,3.489833668256767
2015T4,2015,4,S11,Empresas no financieras,68277.23722824664,3.440135011659572
2016T1,2016,1,S11,Empresas no financieras,67862.06864166971,3.4240507182161255
2016T2,2016,2,S11,Empresas no financieras,70275.10415595717,3.516674279963329
2016T3,2016,3,S11,Empresas no financieras,70902.00619439491,3.5405796668921594
2016T4,2016,4,S11,Empresas no financieras,73576.864955157,3.6421001159270414
2017T1,2017,1,S11,Empresas no financieras,73789.82262345283,3.6501447725821947
2017T2,2017,2,S11,Empresas no financieras,72986.36580301808,3.620013360296141
2017T3,2017,3,S11,Empresas no financieras,74631.97919217899,3.6817467268853243
2017T4,2017,4,S11,Empresas no financieras,75720.3185344833,3.722359222465404
2018T1,2018,1,S11,Empresas no financieras,75755.31290445056,3.723656901581062
2018T2,2018,2,S11,Empresas no financieras,73778.07389264458,3.6508539354744975
2018T3,2018,3,S11,Empresas no financieras,72665.4237663988,3.6101831081040454
2018T4,2018,4,S11,Empresas no financieras,74480.34883279518,3.676022870592128
2019T1,2019,1,S11,Empresas no financieras,73942.3873886366,3.656507303302905
2019T2,2019,2,S11,Empresas no financieras,74796.21493420277,3.6871068218389267
2019T3,2019,3,S11,Empresas no financieras,75934.5258563382,3.7276904432313995
2019T4,2019,4,S11,Empresas no financieras,73528.47900484757,3.642700971283009
2020T1,2020,1,S11,Empresas no financieras,75999.54023142677,3.729109387505261
2020T2,2020,2,S11,Empresas no financieras,80865.30801414765,3.898669485340492
2020T3,2020,3,S11,Empresas no financieras,82569.82161540198,3.9580439630967272
2020T4,2020,4,S11,Empresas no financieras,83441.23946152834,3.988020156904171
2021T1,2021,1,S11,Empresas no financieras,87253.04646508963,4.117696524624051
2021T2,2021,2,S11,Empresas no financieras,89372.73834645895,4.189043007635544
2021T3,2021,3,S11,Empresas no financieras,90620.65159601593,4.230517944614747
2021T4,2021,4,S11,Empresas no financieras,85461.22656743764,4.064040520998703
2022T1,2022,1,S11,Empresas no financieras,85607.72402882541,4.068657851492075
2022T2,2022,2,S11,Empresas no financieras,84150.62696431615,4.024619269841635
2022T3,2022,3,S11,Empresas no financieras,81914.82851203076,3.9593561651136486
2022T4,2022,4,S11,Empresas no financieras,85613.97671162925,4.064712045228601
2023T1,2023,1,S11,Empresas no financieras,90055.976371476,4.189573316526888
2023T2,2023,2,S11,Empresas no financieras,92857.89106732675,4.267211306762568
2023T3,2023,3,S11,Empresas no financieras,96983.18352471958,4.3811774380812745
2023T4,2023,4,S11,Empresas no financieras,101257.86584702446,4.497370878856131
2024T1,2024,1,S11,Empresas no financieras,104417.54887433274,4.58255241534305
2024T2,2024,2,S11,Empresas no financieras,106120.15406856207,4.627868383044126
2024T3,2024,3,S11,Empresas no financieras,107151.8093332599,4.655081356804317
2024T4,2024,4,S11,Empresas no financieras,108579.62688731626,4.6922479516894136
2025T1,2025,1,S11,Empresas no financieras,108846.154780016,4.6991006060553255
2025T2,2025,2,S11,Empresas no financieras,113148.10988435626,4.808656911232673
