periodo,año,trimestre,sector_codigo,sector_nombre,A_notional_nominal_total,A_notional_real_total,log_A_real,d_log_A_real
2010T4,2010,4,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),23582.47782158435,1.3046963177183404,0.26597030696500346,0.01773675508576389
2011T1,2011,1,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),24052.902670588628,1.3264971880852872,0.2825417747934008,0.016571467828397357
2011T2,2011,2,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),24353.84250530359,1.3402450796788479,0.2928524925222391,0.010310717728838292
2011T3,2011,3,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),24987.64213511063,1.3690375457430606,0.3141079716008417,0.02125547907860259
2011T4,2011,4,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),25990.99155022047,1.4140428415603643,0.3464528651486156,0.03234489354777392
2012T1,2012,1,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),26546.374564106383,1.438689823494644,0.363732854632514,0.01727998948389836
2012T2,2012,2,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),27308.2922192778,1.4723622296070413,0.38686806993008094,0.023135215297566958
2012T3,2012,3,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),27248.713130154,1.4697249423130112,0.3850752692098413,-0.001792800720239629
2012T4,2012,4,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),27442.065977043236,1.4781902005418013,0.3908185020284513,0.00574323281861
2013T1,2013,1,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),29055.299152571362,1.5487313859840008,0.43743613515388113,0.046617633125429825
2013T2,2013,2,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),30394.29712873378,1.6073240132858615,0.4745706926206335,0.03713455746675237
2013T3,2013,3,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),30472.568334168467,1.610713693409905,0.4766773686055859,0.0021066759849523997
2013T4,2013,4,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),31837.188630551525,1.6692570677328462,0.512378657823766,0.03570128921818011
2014T1,2014,1,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),34400.186144082174,1.7778265924762016,0.5753916027944539,0.06301294497068788
2014T2,2014,2,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),35790.71091470524,1.8357081835702576,0.6074303381552391,0.032038735360785164
2014T3,2014,3,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),38248.73748846506,1.9374139324797592,0.6613540593127505,0.05392372115751143
2014T4,2014,4,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),38490.149184297974,1.9472166171577325,0.666400977087829,0.0050469177750784855
